name,state,type,inbound_links,outbound_links,source_address.type,source_address.ref_custom_address_group,destination_address.type,protocol,snat_process.policy,snat_process.source_port,snat_process.translated_address.type,snat_process.translated_address.address,position,source_address.address,snat_process.translated_address.ref_custom_address_group,description,destination_address.address,source_port,destination_port
风险管理-访问企微生产,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,风险管理EIP,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,46,,,双向NAT,172.27.132.200,ALL,8443
zce财务-访问企微生产,ENABLE,IPV4,['inside-net9'],"['CU-IPV4-ZCE', 'CM-IPV4-ZCE', 'inside-net9']",CUSTOM-ADDRESS-GROUP,zce财务外网生产-共享应用,IP-ADDRESS,TCP,HASH-SRCIP-AND-DSTIP,PRESERVE,OUTBOUND-LINK-IP,,47,,,双向NAT,172.27.132.200,ALL,8443
IPV4-源NAT-ZCE-CU,ENABLE,IPV4,['LAN-KIND'],['CU-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,inside-IP-net,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.144.146,48,,,,,,
IPV4-源NAT-ZCE-CM,ENABLE,IPV4,['LAN-KIND'],['CM-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,inside-IP-net,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,117.160.150.30,49,,,,,,
IPV6-源NAT-ZCE-CU,ENABLE,IPV6,['LAN-KIND'],['CU-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,2408:8620:0000:0091::1,50,,,,,,
IPV6-源NAT-ZCE-CM,ENABLE,IPV6,['LAN-KIND'],['CM-IPV4-ZCE'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,2409:8745:039f:4700::1,51,,,,,,
IPV6-源NAT-公用-CU,ENABLE,IPV6,['ALL'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,2408:8620:0:92::1,52,,,,,,
IPV6-源NAT-公用-CT,ENABLE,IPV6,['ALL'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,240e:063c:1600:19::1,53,,,,,,
IPV6-源NAT-公用-CM,ENABLE,IPV6,['ALL'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,2409:8745:310:1042::1,54,,,,,,
IPV6-源NAT-公用-CM-新,ENABLE,IPV6,['ALL'],['vlan1896-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,FD00:1:1205:8::0-61位【ES测试】,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,2409:8744:310:102f::3,55,,,,,,
